unidad_academica|nro_inscripcion|titulo|carrera|legajo|plan|version|fecha_egreso|colacion|juramento|nro_expediente|prom_general|prom_sin_aplazos|nro_regis_dipl_fac|nro_regis_dipl_uni|resol_rectorado|duracion_carrera|observaciones|estado|nro_disp_decano|fecha_disp_decano|fecha_ini_tramite|fecha_ingr_conacad|fecha_apro_conacad|fecha_firma_autor|fecha_eleva_consup|fecha_apro_consup|tipo_copia
FCEQN|FCEQN-9996|00008|143|PB01444|2000|14|12/21/2018|28|2|01-3456/2019|7.40625|8.26923076923077||||69||R|||02/19/2019||||||1
FCEQN|FCEQN-7476|00003|101|IQ01573|2003|16|12/20/2018|28|2|01-3457/2019|6.42307692307692|7.325||||108||R|||02/19/2019||||||1
FCEQN|FCEQN-2315|00008|143|PB01011|2000|14|12/21/2018|28|2|01-3458/2019|7.03225806451613|7.73076923076923||||192||R|||02/20/2019||||||1
FCEQN|FCEQN10038|00008|143|PB01460|2000|14|12/21/2018|28|3|01-3459/2019|6.78947368421053|8||||68||R|||02/22/2019||||||1
FCEQN|FCEQN-9738|00008|143|PB01520|2000|14|12/21/2018|28|1|01-3460/2019|8.31034482758621|8.80769230769231||||55||R|||02/22/2019||||||1
FCEQN|FCEQN10956|00011|114|TA00175|1997|1|10/19/2018|28|3|01-3461/2019|8.58333333333333|8.58333333333333||||52||R|||02/22/2019||||||1
FCEQN|FCEQN10575|00001|172|PM03910|1997|8|02/13/2019|28|3|01-3462/2019|7.70731707317073|8.52941176470588||||58||R|||02/27/2019||||||1
FCEQN|FCEQN-8907|00023|111|GA00031|2011|1|11/02/2018|28|4|01-3463/2019|8.25|8.25||||90||R|||03/01/2019||||||1
FCEQN|FCEQN-5034|00008|143|PB01263|2000|14|03/01/2019|28|1|01-3464/2019|7.33333333333333|7.46153846153846||||119||R|||03/11/2019||||||1
FCEQN|FCEQN-9326|00004|102|BI02365|2007|12|03/07/2019|28|6|01-3465/2019|7.8780487804878|8.21052631578947||||83||R|||03/11/2019||||||1
FCEQN|FCEQN-2551|00024|901|DC00023|2012|2|03/01/2019|28|4|01-3466/2019|9.5|9.5||||71||R|||03/13/2019||||||1
FCEQN|FCEQN-7655|00008|143|PB01321|2000|14|02/15/2019|28|2|01-3467/2019|6.32352941176471|7.07692307692308||||110||R|||03/13/2019||||||1
FCEQN|FCEQN-1909|00026|117|ET00010|2014|1|12/14/2018|28|4|01-3468/2019|8.57894736842105|8.57894736842105||||48||R|||03/14/2019||||||1
FCEQN|FCEQN10551|00001|172|PM03921|1997|8|03/12/2019|28|2|01-3469/2019|7.33333333333333|7.97058823529412||||59||R|||03/14/2019||||||1
FCEQN|FCEQN-5608|00008|143|PB01238|2000|14|03/15/2019|28|1|01-3470/2019|5.52083333333333|7.5||||135||R|||03/20/2019||||||1
FCEQN|FCEQN-7325|00007|147|LG03526|1992|8|03/21/2019|28|2|01-3471/2019|7.5|7.93548387096774||||111||R|||03/21/2019||||||1
FCEQN|FCEQN-9801|00007|147|LG03723|1992|8|03/21/2019|28|2|01-3472/2019|8.80645161290323|8.80645161290323||||71||R|||03/21/2019||||||1
FCEQN|FCEQN10874|00007|147|LG03810|1992|8|03/21/2019|28|2|01-3473/2019|9.29032258064516|9.29032258064516||||59||R|||03/21/2019||||||1
FCEQN|FCEQN-9131|00008|143|PB01406|2000|14|03/15/2019|28|1|01-3474/2019|6.52777777777778|7.61538461538461||||83||R|||03/22/2019||||||1
FCEQN|FCEQN-8964|00008|143|PB01416|2000|14|03/15/2019|28|3|01-3475/2019|6.79411764705882|7.65384615384615||||83||R|||03/22/2019||||||1
FCEQN|FCEQN-5486|00007|147|LG03252|1992|8|03/21/2019|28|2|01-3476/2019|5.95348837209302|7.35483870967742||||147||R|||03/22/2019||||||1
FCEQN|FCEQN-9792|00007|147|LG03718|1992|8|03/21/2019|28|3|01-3477/2019|7.8|8.25806451612903||||71||R|||03/25/2019||||||1
FCEQN|FCEQN-9773|00007|147|LG03704|1992|8|03/21/2019|28|1|01-3478/2019|8.09677419354839|8.09677419354839||||72||R|||03/27/2019||||||1
FCEQN|FCEQN-7581|00003|101|IQ01566|2003|16|12/20/2018|28|1|01-3479/2019|7.48837209302326|7.825||||108||R|||03/28/2019||||||1
FCEQN|FCEQN10246|00001|172|PM03855|1997|8|03/26/2019|28|1|01-3480/2019|6.3695652173913|7.58823529411765||||71||R|||03/28/2019||||||1
FCEQN|FCEQN-4259|00001|172|PM03494|1997|8|03/26/2019|28|1|01-3481/2019|5.79591836734694|7.20588235294118||||109||R|||04/01/2019||||||1
FCEQN|FCEQN-7462|00005|104|FA03895|2007|10|03/29/2019|28|8|01-3482/2019|5.4|7.15384615384615||||111||R|||04/01/2019||||||1
FCEQN|FCEQN12156|00027|118|TI00007|2016|2|03/21/2019|28|4|01-3483/2019|8.54545454545454|8.54545454545454||||35||R|||04/01/2019||||||1
FCEQN|FCEQN10571|00001|172|PM03922|1997|8|03/26/2019|28|1|01-3484/2019|7.63157894736842|8.29411764705882||||59||R|||04/01/2019||||||1
FCEQN|FCEQN-9043|00001|172|PM03753|1997|8|03/26/2019|28|3|01-3485/2019|6.35294117647059|7.76470588235294||||84||R|||04/03/2019||||||1
FCEQN|FCEQN10240|00001|172|PM03835|1997|8|03/26/2019|28|1|01-3486/2019|6.95348837209302|7.94117647058824||||72||R|||04/03/2019||||||1
FCEQN|FCEQN10568|00001|172|PM03923|1997|8|03/27/2019|28|3|01-3487/2019|7.71794871794872|8.26470588235294||||59||R|||04/05/2019||||||1
FCEQN|FCEQN-4664|00003|101|IQ01351|2003|16|12/17/2018|28|1|01-3488/2019|5.88888888888889|7.15||||152||R|||04/08/2019||||||1
FCEQN|FCEQN10276|00001|172|PM03837|1997|8|03/29/2019|28|3|01-3489/2019|6.74418604651163|7.73529411764706||||72||R|||04/09/2019||||||1
FCEQN|FCEQN10488|00001|172|PM03926|1997|8|03/26/2019|28|3|01-3490/2019|7.89189189189189|8.23529411764706||||59||R|||04/10/2019||||||1
FCEQN|FCEQN-9187|00004|102|BI02375|2007|12|04/05/2019|28|1|01-3491/2019|7.32608695652174|8.07692307692308||||84||R|||04/10/2019||||||1
FCEQN|FCEQN-7317|00004|102|BI02249|2007|12|04/05/2019|28|4|01-3492/2019|6|7.23684210526316||||112||R|||04/10/2019||||||1
FCEQN|FCEQN-4681|00024|901|DC00047|2012|2|03/14/2019|28|2|01-3493/2019|9.28571428571429|9.28571428571429||||57||R|||04/11/2019||||||1
FCEQN|FCEQN-5996|00005|104|FA04089|2007|10|04/09/2019|28|1|01-3494/2019|7.04651162790698|7.38461538461539||||73||R|||04/12/2019||||||1
FCEQN|FCEQN10258|00001|172|PM03879|1997|8|03/26/2019|28|1|01-3495/2019|6.7906976744186|7.76470588235294||||71||R|||04/12/2019||||||1
FCEQN|FCEQN-1165|00003|101|IQ00959|2003|16|04/12/2019|28|1|01-3496/2019|5.57446808510638|6.125||||215||R|||04/22/2019||||||1
FCEQN|FCEQN-3508|00024|901|DC00031|2012|2|03/22/2019|28|4|01-3497/2019|9.25|9.25||||67||R|||04/22/2019||||||1
FCEQN|FCEQN-6557|00008|143|PB01402|2000|14|03/29/2019|28|2|01-3498/2019|7.11111111111111|7.26923076923077||||84||R|||04/23/2019||||||1
FCEQN|FCEQN-7621|00003|101|IQ01558|2003|16|04/05/2019|28|3|01-3499/2019|6.60869565217391|7.225||||111||R|||04/26/2019||||||1
FCEQN|FCEQN-9053|00001|172|PM03742|1997|8|03/12/2019|28|2|01-3500/2019|7.36842105263158|7.79411764705882||||83||R|||04/26/2019||||||1
FCEQN|FCEQN-6986|00003|101|IQ01509|2003|16|12/20/2018|28|3|01-3501/2019|7.74418604651163|8.15||||120||R|||04/26/2019||||||1
FCEQN|FCEQN-9185|00007|147|LG03642|1992|8|04/25/2019|28|1|01-3502/2019|8.25806451612903|8.25806451612903||||84||R|||04/26/2019||||||1
